artid,journal,volume,issue,year,month,pages,cited3,cited2012,aut_num,ack_num,com_num,aut_cluster,ack_cluster,com_cluster,bip_cluster,aut_jaccard,ack_jaccard,com_jaccard,aut_density,ack_density,com_density,bip_density,aut_avgdegree,ack_avgdegree,com_avgdegree,bip_avgdegree,aut_flowhier,ack_flowhier,com_flowhier,aut_numcomp,ack_numcomp,com_numcomp,bip_numcomp
87,annurevisoci,32,1,2006,6,299-328,13,61,1,2,3,99,99,0.0,0.0,99,0.0519480519481,0.122598348828,0.0,0.5,1.33333333333,3.5,0.0,0.5,2.66666666667,2.33333333333,99,1.0,0.125,1,1,1,2

88,annurevisoci,32,1,2006,6,329-349,4,6,3,0,3,0.0,99,0.0,0.0,0.0621711621712,99,0.0621711621712,0.166666666667,0.0,0.166666666667,0.0,0.333333333333,0.0,0.333333333333,0.0,1.0,99,1.0,2,0,2,3

89,annurevisoci,32,1,2006,6,351-374,12,40,2,0,2,99,99,99,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

90,annurevisoci,32,1,2006,6,375-399,4,29,2,3,5,99,0.0,0.0,0.0,0.09375,0.115618719495,0.0924403531842,0.0,0.166666666667,0.1,0.166666666667,0.0,0.333333333333,0.4,0.2,99,1.0,1.0,2,2,3,4

91,annurevisoci,32,1,2006,6,401-421,11,38,2,0,2,99,99,99,0.0,0.333333333333,99,0.333333333333,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,99,0.0,1,0,1,2

92,annurevisoci,32,1,2006,6,423-446,4,13,2,0,2,99,99,99,0.0,0.0909090909091,99,0.0909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

93,annurevisoci,32,1,2006,6,447-470,8,19,2,3,5,99,0.0,0.6,0.0,0.375,0.066577540107,0.102781133985,0.5,0.0,0.2,0.5,0.5,0.0,0.8,0.6,1.0,99,0.5,1,3,3,3

94,annurevisoci,31,1,2005,6,1-24,3,10,1,1,2,99,99,99,0.0,99,99,0.0806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,1,2,2

95,annurevisoci,31,1,2005,6,25-45,0,13,1,1,2,99,99,99,0.0,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,1,2,2

96,annurevisoci,31,1,2005,6,47-74,5,35,1,5,6,99,0.0,0.0,0.166666666667,99,0.0513263618284,0.0597270140318,0.0,0.05,0.133333333333,0.6,0.0,0.2,0.666666666667,0.5,99,1.0,0.5,1,4,3,4

97,annurevisoci,31,1,2005,6,75-103,12,46,2,2,4,99,99,0.0,0.0,0.210526315789,0.105263157895,0.153627955759,0.0,0.0,0.0833333333333,0.25,0.0,0.0,0.25,0.25,99,99,1.0,2,2,3,3

98,annurevisoci,31,1,2005,6,105-125,18,82,2,0,2,99,99,99,0.0,0.125,99,0.125,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0,99,1.0,1,0,1,2

99,annurevisoci,31,1,2005,6,127-141,2,9,3,0,3,0.0,99,0.0,0.0,0.209523809524,99,0.209523809524,0.333333333333,0.0,0.333333333333,0.0,0.666666666667,0.0,0.666666666667,0.0,0.0,99,0.0,2,0,2,3

100,annurevisoci,31,1,2005,6,143-162,8,42,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

